"SystemName","status","OperatingSystems","Audience","Category","Translations","ProgrammingLan","UserInterface","LastUpdate","License"
"Refocus","Beta","linux/mac/windows","end-users-desktop","graphics","English","c","gnome","2013-03-22","gnu-general-public-license-version-2.0-(gplv2)"
"ConversionSVG","Beta","windows","end-users-desktop","graphics-conversion","English/French","visual-basic","win32-(ms-windows)","2015-08-03","gnu-general-public-license-version-2.0-(gplv2)"
"Jazz++ MIDI and Audio Sequencer","Alpha","bsd/linux/windows","end-users-desktop","midi","English","c++","win32-(ms-windows)/x-window-system-(x11)","2015-04-05","gnu-general-public-license-version-2.0-(gplv2)"
"XODA - the KISSed Document manager.","Alpha","bsd/linux","end-users-desktop","dynamic-content/indexing-search/site-management","English","javascript/php","web-based","2020-01-02","bsd-license"
"LOIC","Beta","windows","other-audience","internet","English","c#","windows-aero","2016-05-05","other-license/public-domain"
"Q Light Controller","Abandoned","linux/mac/windows","end-users-desktop","other-nonlisted-topic","English/Finnish/French","c/c++","qt","2013-11-18","gnu-general-public-license-version-2.0-(gplv2)"
"VPN MultiConnect","Beta","windows","system-administrators","networking/security","German","visual-basic-.net",".net-mono","2013-05-30","gnu-general-public-license-version-3.0-(gplv3)"
"Krecipes - The KDE Cookbook","Beta","bsd/linux","end-users-desktop","cooking","English","c++","kde","2014-02-22","gnu-general-public-license-version-2.0-(gplv2)"
"ZCAD","Alpha","linux/windows","engineering","3d-modeling/autocad-dxf/computer-aided-technologies-(cadd-cam-cae)","English/Russian","free-pascal/lazarus","gnome/kde/win32-(ms-windows)","2020-02-27","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"C++ OPENGL 3D FUNCTIONS program","Alpha","windows","education","3d-modeling","English","c++","win32-(ms-windows)","2013-03-11","gnu-general-public-license-version-2.0-(gplv2)"
"MMConvert","Abandoned","windows","advanced-end-users/developers/end-users-desktop/other-audience","audio-conversion/video-conversion","Chinese (Simplified)/Chinese (Traditional)/English","c++","command-line/win32-(ms-windows)","2018-09-01","gnu-general-public-license-version-2.0-(gplv2)"
"Aqualung","Beta","bsd/linux/windows","developers/end-users-desktop/other-audience","players","English/French/German/Hungarian/Italian/Japanese/Russian/Swedish/Ukrainian","c","gtk+/win32-(ms-windows)/x-window-system-(x11)","2015-08-08","gnu-general-public-license-version-2.0-(gplv2)"
"WordTsar","Alpha","linux/mac/windows","end-users-desktop","word-processors","English","c++","wxwidgets","1 day ago","affero-gnu-public-license"
"FreeBooth","Beta","linux/mac/windows","end-users-desktop","viewers","English/German/Russian","java","java-swing","2020-01-18","gnu-general-public-license-version-3.0-(gplv3)"
"pin 'em up","Beta","linux/mac/windows","end-users-desktop","desktop-environment/scheduling/to-do-lists","English/German","java","java-swing","2012-08-31","gnu-general-public-license-version-2.0-(gplv2)"
"Force Copy Beta v 1.0.0.0","Beta","windows","education/end-users-desktop/engineering","backup/data-recovery/filesystems","English","visual-basic","win32-(ms-windows)","2015-08-07","public-domain"
"Outport","Beta","bsd/linux/windows","end-users-desktop","office-business","English","c++","gnome/win32-(ms-windows)","2013-04-10","gnu-general-public-license-version-2.0-(gplv2)"
"iTrade - Trading and Charting System","Pre-Alpha","linux/mac/windows","advanced-end-users/end-users-desktop/financial-and-insurance-industry","accounting/investment","English/French/Portuguese","python","wxwidgets","2013-09-05","gnu-general-public-license-version-2.0-(gplv2)"
"Kort's Spellcrafting Calculator","Beta","bsd/linux/windows","end-users-desktop/other-audience","multi-user-dungeons-(mud)","English","python","qt","2013-04-25","gnu-general-public-license-version-2.0-(gplv2)"
"MousePosition","Beta","bsd/linux/windows","other-audience","software-distribution","German","c/java","java-swing/win32-(ms-windows)","2018-06-27","gnu-general-public-license-version-2.0-(gplv2)"
"Fusker","Inactive","linux/mac/windows","advanced-end-users","dynamic-content/indexing-search/presentation/viewers","English","php","web-based","2013-05-29","php-license"
"Karsten SlideShow","Beta","windows","end-users-desktop","display/presentation/screen-savers/viewers","English/German/Italian","delphi-kylix","directx/win32-(ms-windows)","2013-04-25","mozilla-public-license-1.1-(mpl-1.1)"
"Spammer","Beta","linux/mac/windows","education","education","English/Spanish","java","java-swing","2016-07-22","gnu-general-public-license-version-3.0-(gplv3)"
"libodbc++","Beta","bsd/linux/windows","developers","software-development","English","c++","qt","2013-04-25","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"samplv1","Beta","linux","end-users-desktop","midi/sound-synthesis","English","c++","qt/x-window-system-(x11)","3 days ago","gnu-general-public-license-version-2.0-(gplv2)"
"senderid-milter","Beta","bsd/linux/mac/solaris","developers/information-technology/system-administrators","filters","English","c","non-interactive-(daemon)","2013-06-05","other-license"
"Alfanous","Beta","linux/windows","developers/education/end-users-desktop/non-profit-organizations/religion","education/linguistics/religion-and-philosophy","Albanian/Arabic/English/Indonesian/Spanish","python","qt/web-based","2019-07-20","affero-gnu-public-license"
"droiD64","Beta","linux/mac/windows","end-users-desktop","filesystems","English","java","cocoa-(macos-x)/win32-(ms-windows)/x-window-system-(x11)","2020-03-15","gnu-general-public-license-version-2.0-(gplv2)"
"cdw","Beta","bsd/linux","end-users-desktop","multimedia","English","c","curses-ncurses","2016-04-03","gnu-general-public-license-version-2.0-(gplv2)"
"VariIcons Icon Editor","Beta","windows","end-users-desktop","raster-based","German","c#","win32-(ms-windows)","2016-05-29","gnu-general-public-license-version-2.0-(gplv2)"
"PLC simulator","Beta","windows","developers","html-xhtml/human-machine-interfaces/simulations","Russian","javascript","web-based/win32-(ms-windows)","2013-04-16","gnu-general-public-license-version-2.0-(gplv2)"
"Phase 10","Beta","linux/windows","end-users-desktop","card-games","English","c++","win32-(ms-windows)/wxwidgets","2013-04-17","gnu-general-public-license-version-2.0-(gplv2)"
"dvdrip","Beta","bsd/linux","developers/end-users-desktop","graphics/video-conversion","English","c/c++","x-window-system-(x11)","2017-11-10","gnu-general-public-license-version-2.0-(gplv2)"
"Andorra 2D","Alpha","linux/windows","developers","frameworks/games-entertainment/graphics","English","delphi-kylix/pascal","directx/opengl/plugins/project-is-a-3d-engine","2013-05-14","common-public-license-1.0/gnu-general-public-license-version-2.0-(gplv2)"
"GNU Typing Trainer","Beta","linux/windows","education","education","English/Hungarian","object-pascal","win32-(ms-windows)/x-window-system-(x11)","2015-09-24","gnu-general-public-license-version-2.0-(gplv2)"
"PythonCard","Beta","bsd/linux/mac/windows","developers/education/end-users-desktop","education/software-development","English","python","cocoa-(macos-x)/win32-(ms-windows)/x-window-system-(x11)","2013-06-03","bsd-license"
"OpenPref","Beta","bsd/linux/windows","end-users-desktop","card-games","English/Russian","c++","qt","2013-06-05","gnu-general-public-license-version-3.0-(gplv3)"
"LPub 4","Planning","mac/windows","end-users-desktop","graphics","English","c++","qt","2016-08-17","gnu-general-public-license-version-2.0-(gplv2)"
"bbwin","Pre-Alpha","windows","information-technology","monitoring/systems-administration","English","c/c++","win32-(ms-windows)","2017-07-18","gnu-general-public-license-version-2.0-(gplv2)"
"Free Academic Timetable Software","Abandoned","android/bsd/linux/mac/windows","education/government/non-profit-organizations","cron-and-scheduling/education/resource-booking","English","php","web-based","2020-03-23","academic-free-license-(afl)/apache-license-v2.0/educational-community-license/non-profit-open-software-license-3.0-(non-profit-osl-3.0)"
"Swf Reader","Abandoned","linux/mac/windows","developers","multimedia/security","English/Polish","java","java-swing","2018-07-23","gnu-general-public-license-version-3.0-(gplv3)"
"TraceMetrics","Alpha","linux/mac/windows","science-research","simulations","English","java","java-swing","2016-08-19","gnu-general-public-license-version-3.0-(gplv3)"
"Simple Shutdown Scheduler","Planning","windows","advanced-end-users/developers/end-users-desktop/other-audience/system-administrators","systems-administration","English","c#/visual-basic-.net","win32-(ms-windows)","2013-05-02","gnu-general-public-license-version-3.0-(gplv3)"
"LiteSQL C++ Object Persistence Framework","Beta","bsd/linux/mac/windows","developers","code-generators/front-ends/orm-(object-relational-mapping)","English","c/c++","cocoa-(macos-x)/command-line/gnome/win32-(ms-windows)/wxwidgets/x-window-system-(x11)","2020-04-23","bsd-license"
"ReZound","Beta","bsd/linux/mac/solaris","developers/end-users-desktop","audio-conversion/capture-recording/editors/players","English","c++","x-window-system-(x11)","2018-09-21","gnu-general-public-license-version-2.0-(gplv2)"
"Free CMMS","Alpha","linux/mac/windows","developers/manufacturing/other-audience","database/dynamic-content/scientific-engineering","English","php","web-based","2013-05-02","gnu-general-public-license-version-2.0-(gplv2)"
"Mac DC++","Pre-Alpha","mac","end-users-desktop","file-sharing","English","c++","cocoa-(macos-x)","2013-03-22","gnu-general-public-license-version-2.0-(gplv2)"
"baba","Beta","linux/mac/windows","developers/education/science-research","bio-informatics/computer-aided-instruction-(cai)","English","java","web-based","2016-06-18","gnu-general-public-license-version-2.0-(gplv2)"
"xplanner-plus","Beta","linux/mac/windows","management","agile-development-tools/project-management/time-tracking","English","java","web-based","2013-09-14","gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"Jojos Binary Diff","Beta","bsd/linux/windows","end-users-desktop/system-administrators","algorithms/archiving/file-management","English","c/c++","command-line","2015-11-03","gnu-general-public-license-version-3.0-(gplv3)"
"Nandub","Beta","windows","end-users-desktop","video-conversion","English","c++","win32-(ms-windows)","2017-11-09","gnu-general-public-license-version-2.0-(gplv2)"
"VeNCrypt","Alpha","bsd/linux/windows","customer-service/end-users-desktop/information-technology/system-administrators","computer-aided-instruction-(cai)/networking/systems-administration","English","c/c++/java","command-line/win32-(ms-windows)/x-window-system-(x11)","2015-11-28","gnu-general-public-license-version-2.0-(gplv2)"
"JavaScript Texas Hold 'em Poker","Beta","linux/mac/windows","developers/end-users-desktop","card-games","English","javascript","web-based","2018-01-26","gnu-general-public-license-version-2.0-(gplv2)"
"Geoblock","Alpha","windows","developers/education/end-users-desktop/science-research","3d-modeling/earth-sciences/gis","English/Russian/Spanish","c++/delphi-kylix/object-pascal","opengl/win32-(ms-windows)","2020-04-11","mozilla-public-license-2.0-(mpl-2.0)"
"Widelands","Beta","bsd/linux/mac/windows","end-users-desktop","multiplayer/real-time-strategy/simulation","English/German","c++","win32-(ms-windows)/x-window-system-(x11)","2013-06-04","gnu-general-public-license-version-2.0-(gplv2)"
"Me and My Shadow","Alpha","bsd/linux/windows","developers/end-users-desktop","puzzle-games","Chinese (Simplified)/Chinese (Traditional)/Dutch/English/Finnish/German/Italian/Russian","c++","opengl/sdl","2018-11-03","gnu-general-public-license-version-3.0-(gplv3)"
"Iso9660 Analyzer Tool","Alpha","linux/windows","developers","algorithms/debuggers","English/Italian","c","console-terminal","2014-06-09","gnu-general-public-license-version-2.0-(gplv2)"
"B-Maxwell","Beta","linux/mac/windows","end-users-desktop","3d-modeling/3d-rendering","English","c++/python","plugins","2016-10-02","gnu-general-public-license-version-2.0-(gplv2)"
"Google Play(Desktop Edition)","Beta","android/windows","end-users-desktop/testers","dynamic-content/social-bookmarking","English","c#/javascript/visual-basic","project-is-a-user-interface-(ui)-system/project-is-a-window-manager/web-based/win32-(ms-windows)","2015-06-30","creative-commons-attribution-non-commercial-license-v2.0"
"Universal Android Toolkit","Beta","linux/mac/windows","advanced-end-users/developers/other-audience/telecommunications-industry/testers","systems-administration/user-interfaces","English","java","gnome/gtk+/java-swing/kde","2016-11-29","gnu-general-public-license-version-3.0-(gplv3)"
"External diff Tool (Eclipse Plugin)","Alpha","linux/mac/windows","developers","file-management/integrated-development-environments-(ide)/version-control","English","java","eclipse/java-swt","2013-04-23","common-public-license-1.0"
"Linknx","Beta","bsd/linux/windows","advanced-end-users/developers/end-users-desktop","other-nonlisted-topic/scientific-engineering/xml","English","c++","command-line/non-interactive-(daemon)","2015-12-13","gnu-general-public-license-version-2.0-(gplv2)"
"Clicker","Beta","windows","end-users-desktop","build-tools/scheduling/to-do-lists","English/Polish","c#","win32-(ms-windows)","2014-08-13","creative-commons-attribution-license"
"ZED Online","Beta","windows","end-users-desktop","multiplayer","English","c++/javascript/php","opengl/sdl","6 days ago","gnu-general-public-license-version-3.0-(gplv3)"
"MUTE","Beta","linux/mac/windows","end-users-desktop","file-sharing/security","English","c++","cocoa-(macos-x)/win32-(ms-windows)/x-window-system-(x11)","2013-06-05","gnu-general-public-license-version-2.0-(gplv2)"
"OpenMarias","Beta","linux/windows","end-users-desktop","artificial-intelligence/card-games","English/Slovak","c++","qt","2013-04-26","gnu-general-public-license-version-2.0-(gplv2)"
"iDesk","Beta","bsd/linux","end-users-desktop","desktop-environment","English","c++","x-window-system-(x11)","2013-04-11","bsd-license"
"IBM Websphere MQ Admin Tool","Beta","bsd/linux/mac/windows","developers/end-users-desktop/system-administrators/testers","systems-administration","English","java","java-swing","2017-01-18","gnu-general-public-license-version-3.0-(gplv3)"
"OS Game-Launcher","Pre-Alpha","windows","advanced-end-users/end-users-desktop","collection-management/games-entertainment","English","c#","directx","1 day ago","mit-license"
"SynCE","Beta","bsd/linux","developers/end-users-desktop","communications/desktop-environment","English","c/c++/python","non-interactive-(daemon)/x-window-system-(x11)","2019-09-03","gnu-general-public-license-version-2.0-(gplv2)/mit-license"
"Extended Oprating System Loader","Beta","windows","developers/end-users-desktop/system-administrators","boot","English","assembly/c++","framebuffer","2016-02-27","gnu-general-public-license-version-2.0-(gplv2)"
"NetHack - Falcon's Eye","Beta","bsd/linux/windows","end-users-desktop","role-playing","English","c","win32-(ms-windows)/x-window-system-(x11)","2013-03-26","nethack-general-public-license"
"TouchGraph","Alpha","linux/mac/windows","developers/end-users-desktop/system-administrators","indexing-search/vector-based/visualization","English","java","web-based/win32-(ms-windows)","2013-04-08","apache-software-license"
"JavaScript Editor PlugIn for Eclipse","Inactive","linux/mac/windows","developers","integrated-development-environments-(ide)/software-development","English","java/javascript","eclipse","2013-04-08","common-public-license-1.0"
"GoGui","Abandoned","linux/windows","developers/end-users-desktop","board-games","English/French/German/Japanese/Slovene","java","java-swing","2017-09-21","gnu-general-public-license-version-3.0-(gplv3)"
"JAVA gnuplot GUI","Pre-Alpha","linux","science-research","mathematics/physics/visualization","English","java","java-swing","2013-04-16","gnu-general-public-license-version-2.0-(gplv2)"
"Hale","Inactive","linux/mac/windows","developers/end-users-desktop","role-playing/turn-based-strategy","English","java/javascript","opengl","2018-05-08","gnu-general-public-license-version-2.0-(gplv2)"
"eMule pHoeniX Mod","Beta","windows","end-users-desktop","file-sharing","Spanish","c++","win32-(ms-windows)","2013-03-08","gnu-general-public-license-version-2.0-(gplv2)"
"rotoscope","Pre-Alpha","linux/windows","end-users-desktop","graphics","English","c","gtk+","2013-04-23","gnu-general-public-license-version-2.0-(gplv2)"
"Hans","Beta","bsd/linux/mac","advanced-end-users","networking","English","c/c++","command-line","2016-11-18","gnu-general-public-license-version-3.0-(gplv3)"
"Neko Project II for Android","Beta","android","end-users-desktop","emulators/games-entertainment","English/Japanese","c/java","handheld-mobile-pda/opengl","2013-09-18","gnu-general-public-license-version-2.0-(gplv2)"
"Voice keyboard","Alpha","linux","end-users-desktop","human-machine-interfaces/speech","English","python","non-interactive-(daemon)","2015-04-20","affero-gnu-public-license"
"docbook2X","Beta","linux/mac/windows","developers/other-audience","documentation","English","c/perl","command-line","2013-04-02","mit-license"
"Tekir","Beta","linux/mac/windows","financial-and-insurance-industry","accounting","English/Turkish","java","web-based","2013-04-15","gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"VZPL - Visual ZPL Script Generator","Pre-Alpha","windows","advanced-end-users/developers/government/manufacturing/telecommunications-industry","data-formats/postscript","English","delphi-kylix","win32-(ms-windows)","2015-08-03","gnu-general-public-license-version-3.0-(gplv3)"
"PyGlossary ","Beta","linux","end-users-desktop","education/gnome/other-nonlisted-topic","English/Persian","python","gnome","2017-01-07","gnu-general-public-license-version-3.0-(gplv3)"
"CuteMupen","Beta","bsd/linux/windows","end-users-desktop","emulators/games-entertainment","English/French","c++","qt","2016-01-03","gnu-general-public-license-version-2.0-(gplv2)"
"Magnet Handler","Alpha","windows","developers","file-sharing","English","c++","win32-(ms-windows)","2015-07-26","apache-software-license"
"Klest-crossword","Beta","bsd/linux/mac/windows","education/end-users-desktop/non-profit-organizations","board-games/education/puzzle-games","English/Russian","c++","qt","2016-11-28","gnu-general-public-license-version-2.0-(gplv2)"
"phpOCR","Alpha","linux/mac/windows","developers/end-users-desktop","graphics-conversion","English","php","web-based","2013-03-14","gnu-general-public-license-version-2.0-(gplv2)"
"FlightGear Launch Control","Beta","bsd/linux/windows","end-users-desktop","simulation","English","c++","win32-(ms-windows)/x-window-system-(x11)","2015-04-06","gnu-general-public-license-version-2.0-(gplv2)"
"N-Eye","Pre-Alpha","linux","science-research/system-administrators","security","English","c++/perl","web-based","2013-03-14","gnu-general-public-license-version-2.0-(gplv2)"
"WhatsappToDesktop","Beta","linux","end-users-desktop/testers","chat/conferencing/video-conferencing","Brazilian Portuguese","c++/javascript/python","plugins/project-is-a-templating-system/web-based/xul","2018-12-27","gnu-general-public-license-version-3.0-(gplv3)"
"Lobo - Java Web Browser","Beta","linux/mac/windows","advanced-end-users/developers/education/end-users-desktop/information-technology/other-audience","desktop-environment/internet/software-development","English","java","java-awt/java-swing/javafx/project-is-a-user-interface-(ui)-system/web-based/win32-(ms-windows)/x-window-system-(x11)","2015-01-26","mit-license"
"HelloWorld","Alpha","linux/mac/windows","end-users-desktop","chat/social-networking","German","java/javascript/php","java-swing/web-based","2013-04-08","gnu-general-public-license-version-2.0-(gplv2)"
"IPSec Driver","Beta","windows","developers","internet/security","English","c","win32-(ms-windows)","2015-11-25","gnu-general-public-license-version-2.0-(gplv2)"
"Thrustmaster Mac OS X Driver","Beta","mac","end-users-desktop","hardware-drivers","English","c++","cocoa-(macos-x)","2013-03-22","bsd-license"
"EclipseJCDE","Beta","linux/mac/windows","developers/end-users-desktop","desktop-environment/software-development","English","java","eclipse/java-awt/non-interactive-(daemon)","2013-03-22","eclipse-public-license/gnu-general-public-license-version-2.0-(gplv2)"
"QTScrobbler","Beta","bsd/linux/windows","end-users-desktop","other-nonlisted-topic","English/Polish","c++","qt","2013-01-29","gnu-general-public-license-version-2.0-(gplv2)"
"Bandwidth Monitor NG","Beta","bsd/linux/mac/solaris/windows","advanced-end-users/developers/system-administrators","monitoring","English","c","command-line/console-terminal/curses-ncurses/web-based","2015-08-02","gnu-general-public-license-version-2.0-(gplv2)"
"Strong Java Chess Engines Game","Beta","bsd/linux/mac/windows","education/end-users-desktop/science-research/testers","board-games/education/turn-based-strategy","English","java","gnome/java-awt/java-swing/kde/win32-(ms-windows)/windows-aero/x-window-system-(x11)","2019-05-23","other-license"
"Wireless Network Simulator in Matlab","Alpha","linux/windows","science-research/telecommunications-industry","wireless","English","matlab","win32-(ms-windows)","2013-04-15","public-domain"
"aDOC Document Management","Beta","bsd/linux/windows","advanced-end-users/developers/government/information-technology","dynamic-content/office-business/site-management","Italian","java/jsp","web-based","2014-05-21","gnu-general-public-license-version-2.0-(gplv2)"
"3Com HomeConnect USB Camera Driver","Beta","bsd/linux","developers/end-users-desktop","hardware-drivers/video-capture","English","c","non-interactive-(daemon)","2013-04-08","gnu-general-public-license-version-2.0-(gplv2)"
"huhamhire-hosts","Beta","bsd/mac/windows","developers/end-users-desktop/other-audience/system-administrators","communications/database/plugins-and-add-ons","Chinese (Simplified)/Chinese (Traditional)/English","python","carbon-(mac-os-x)/cocoa-(macos-x)/qt/win32-(ms-windows)/windows-aero","2015-04-25","bsd-license/gnu-general-public-license-version-2.0-(gplv2)/public-domain/python-software-foundation-license"
"ibroadcast","Alpha","windows","other-audience","mixers","Arabic/Chinese (Simplified)/Dutch/English/French/Hindi/Polish/Russian/Spanish/Swedish","visual-basic-.net",".net-mono","2013-04-19","gnu-general-public-license-version-2.0-(gplv2)"
"xjadeo","Beta","bsd/linux/mac/windows","end-users-desktop","display/sound-audio","English/French/Greek/Russian","c/c++","cocoa-(macos-x)/opengl/win32-(ms-windows)/x-window-system-(x11)","2018-12-01","gnu-general-public-license-version-2.0-(gplv2)"
"Fractron 9000","Beta","windows","end-users-desktop","fractals-and-procedural-generation","English","c#",".net-mono","2013-05-01","gnu-general-public-license-version-2.0-(gplv2)"
"LogRotateWin","Beta","windows","advanced-end-users/system-administrators","log-rotation","English/Spanish","c#","command-line/console-terminal","2017-02-28","gnu-general-public-license-version-3.0-(gplv3)"
"NTFS-Search","Beta","windows","end-users-desktop/system-administrators","filesystems/search","English/German","c/c++","win32-(ms-windows)/windows-aero","2017-07-05","gnu-general-public-license-version-3.0-(gplv3)"
"Quazaa","Pre-Alpha","bsd/linux/mac/windows","end-users-desktop","bittorrent/file-sharing/gnutella","Afrikaans/Arabic/Brazilian Portuguese/Catalan/Chinese (Simplified)/Dutch/English/French/German/Japanese/Polish/Russian/Spanish/Thai/Turkish","c++","carbon-(mac-os-x)/cocoa-(macos-x)/gnome/kde/qt/win32-(ms-windows)/windows-aero/x-window-system-(x11)","2018-11-01","gnu-general-public-license-version-3.0-(gplv3)"
"BigBlueButton Ilias Plugin","Alpha","linux/mac/windows","developers/education/system-administrators","computer-aided-instruction-(cai)/conferencing","English/Spanish","php","web-based","2014-12-15","gnu-general-public-license-version-3.0-(gplv3)"
"GTKRawGallery","Alpha","linux/windows","end-users-desktop/other-audience","raster-based","English/Italian","python","gtk+","2013-09-10","gnu-general-public-license-version-3.0-(gplv3)"
"CSSTidy","Inactive","linux/mac/windows","developers","site-management/software-development","English","c++/php","command-line","2013-04-26","gnu-general-public-license-version-2.0-(gplv2)"
"GKmap -K-map disclosure","Beta","bsd/linux","education/science-research","education/scientific-engineering","English","c","gtk+","2014-05-12","gnu-general-public-license-version-2.0-(gplv2)"
"PostgreSQL Database Modeler","Beta","linux/mac/windows","developers","case/code-generators/modeling","Brazilian Portuguese/English","c++","kde/qt/win32-(ms-windows)/x-window-system-(x11)","2012-12-17","gnu-general-public-license-version-2.0-(gplv2)"
"Train Signalling Simulation","Beta","linux/mac/windows","end-users-desktop","simulation","English/French","python","qt","2015-10-26","gnu-general-public-license-version-2.0-(gplv2)"
"FlashFolder","Beta","windows","end-users-desktop","desktop-environment","English","c++","win32-(ms-windows)","2016-03-02","gnu-general-public-license-version-2.0-(gplv2)"
"GiGaHeRz SPU2 and CDVD Plugins","Beta","windows","end-users-desktop","emulators/sound-synthesis","English","c/c++","plugins/win32-(ms-windows)","2013-04-17","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Urdu Typing Tutor","Pre-Alpha","windows","end-users-desktop","education","Urdu","visual-basic-.net","win32-(ms-windows)","2015-08-06","gnu-general-public-license-version-2.0-(gplv2)"
"Virtual Toybox Puzzle Games Collection","Beta","linux/mac/windows","developers/end-users-desktop","puzzle-games","English","java","java-swing","2016-02-14","gnu-general-public-license-version-3.0-(gplv3)"
"yahoo mail","Inactive","linux/mac/windows","end-users-desktop","email","English","java","win32-(ms-windows)/x-window-system-(x11)","2013-02-27","gnu-general-public-license-version-2.0-(gplv2)"
"MinGW Cross Compiler","Beta","linux/windows","developers","cross-compilers","English","c/c++/tcl","console-terminal/win32-(ms-windows)","2013-10-26","bsd-license/gnu-general-public-license-version-2.0-(gplv2)/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)/mit-license/public-domain"
"SIVP toolbox for Scilab","Beta","linux/mac/windows","developers/science-research","graphics/mathematics/video","English","c","tk","2013-05-01","gnu-general-public-license-version-2.0-(gplv2)"
"NeoBill","Alpha","linux/mac/windows","advanced-end-users/developers/information-technology","billing/sales/service-automation","Bosnian/English/French/Italian/Portuguese/Turkish","php","web-based","2019-01-14","gnu-general-public-license-version-2.0-(gplv2)"
"PL/SQL Unwrapper","Beta","linux/mac/windows","developers/system-administrators","database","Chinese (Simplified)/English","java/perl/unix-shell","command-line","2015-05-08","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"NexusPHP","Beta","bsd/linux/windows","developers/system-administrators","bittorrent","Chinese (Simplified)/Chinese (Traditional)/English","php","web-based","2014-05-21","gnu-general-public-license-version-2.0-(gplv2)"
"Febrl","Alpha","bsd/linux/mac/windows","advanced-end-users/end-users-desktop/government/healthcare-industry/information-technology/science-research","artificial-intelligence/bio-informatics/medical-science-apps.","English","python","gtk+/win32-(ms-windows)/x-window-system-(x11)","2013-04-17","mozilla-public-license-1.1-(mpl-1.1)"
"Tux Football","Abandoned","bsd/linux/windows","end-users-desktop","side-scrolling-arcade-games/sports","English","c++","win32-(ms-windows)/x-window-system-(x11)","2014-11-14","gnu-general-public-license-version-2.0-(gplv2)"
"congruity","Beta","linux/windows","end-users-desktop","human-machine-interfaces","English","python","gtk+","2019-11-09","gnu-general-public-license-version-2.0-(gplv2)"
"gaim-libnotify","Alpha","bsd/linux","end-users-desktop","chat","Portuguese/Spanish","c","gtk+","2013-04-25","gnu-general-public-license-version-2.0-(gplv2)"
"BSPG, an opensource Balanced Scorecard","Beta","linux/mac/windows","education/financial-and-insurance-industry/healthcare-industry/information-technology/manufacturing/other-audience","financial/office-suites","Croatian/English/French/Italian","javascript/php","web-based","2013-04-10","gnu-general-public-license-version-2.0-(gplv2)"
"DICOM#","Planning","windows","developers/healthcare-industry/science-research","communications/medical-science-apps.","English","c#","web-based/win32-(ms-windows)","2019-05-23","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"MiniCoder","Beta","windows","advanced-end-users/end-users-desktop","video-conversion","Arabic/Brazilian Portuguese/Dutch/English/French/Turkish","c#","win32-(ms-windows)","2019-02-06","gnu-general-public-license-version-2.0-(gplv2)"
"RealmForge (now Visual3D Game Engine)","Inactive","linux/mac/windows","advanced-end-users/developers/education/end-users-desktop/information-technology/science-research","3d-rendering/distributed-computing/editors/games-entertainment/software-development/xml","English","c#",".net-mono/directx/opengl/project-is-a-3d-engine","2018-03-25","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"WinMust","Beta","windows","end-users-desktop","power-(ups)","English","c#","win32-(ms-windows)","2013-04-15","gnu-general-public-license-version-2.0-(gplv2)"
"GTK+ Mac OS X","Beta","mac","advanced-end-users/developers","gnome/software-development","English","c/python","gnome/gtk+","2017-06-29","gnu-general-public-license-version-2.0-(gplv2)"
"FlasKMPEG","Beta","windows","developers/end-users-desktop","video-conversion","English","assembly/c/c++","win32-(ms-windows)","2018-08-07","gnu-general-public-license-version-2.0-(gplv2)"
"PCMan X","Beta","bsd/linux/mac/windows","end-users-desktop","bbs/internet/telnet","Chinese (Simplified)/Chinese (Traditional)/English","c/c++","carbon-(mac-os-x)/gnome/gtk+/win32-(ms-windows)/wxwidgets/x-window-system-(x11)","2013-04-18","gnu-general-public-license-version-2.0-(gplv2)"
"floAt's Mobile Agent","Beta","windows","end-users-desktop/telecommunications-industry","calendar/chat/telephony","English","delphi-kylix","win32-(ms-windows)","2013-04-26","gnu-general-public-license-version-2.0-(gplv2)"
"Audio test tone into wav","Alpha","bsd/linux/windows","other-audience","sound-synthesis","English","c++","win32-(ms-windows)/x-window-system-(x11)","2012-10-24","gnu-general-public-license-version-2.0-(gplv2)"
"Mr Tooth Dental Software","Planning","bsd/linux/solaris/windows","other-audience","office-suites","Portuguese","java","java-swing","2015-05-16","gnu-general-public-license-version-3.0-(gplv3)"
"Planeshift: a 3D MMORPG","Beta","bsd/linux/mac/windows","developers/end-users-desktop","3d-rendering/mmorpg/role-playing","English","c/c++","cocoa-(macos-x)/win32-(ms-windows)/x-window-system-(x11)","2020-03-07","gnu-general-public-license-version-2.0-(gplv2)"
"kitgen build system","Beta","linux/solaris/windows","developers","software-development","English","c/tcl","command-line/tk","2020-02-19","bsd-license"
"Bright Game Panel","Beta","linux","advanced-end-users/developers/system-administrators","games-entertainment/systems-administration","English/French/Spanish","php","project-is-a-remote-control-application/web-based","2015-12-20","gnu-general-public-license-version-3.0-(gplv3)"
