"SystemName","status","OperationSystems","Audience","Category","Translations","ProgrammingLan","UserInterface","LastUpdate","License"
"Registry Editor PE",NA,"windows","system-administrators","systems-administration","English","NA","win32-(ms-windows)","2019-01-12","gnu-general-public-license-version-2.0-(gplv2)"
"csv2vcf converter",NA,"windows","end-users-desktop","comma-separated-values-(csv)/other-nonlisted-topic","English/Russian/Ukrainian","NA","win32-(ms-windows)","2018-01-15","gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"ext4magic","Beta","linux","end-users-desktop/system-administrators","NA","English/German","c","console-terminal","2015-10-19","gnu-general-public-license-version-2.0-(gplv2)"
"LDView",NA,"linux/mac/windows","developers/end-users-desktop","3d-rendering/viewers","Czech/English/German/Italian","c++","gnome/kde/win32-(ms-windows)","2016-07-19","gnu-general-public-license-version-2.0-(gplv2)/mit-license"
"IBM's TPM 2.0 TSS",NA,"linux/windows","security","security","NA","c","NA","2020-03-31","bsd-license"
"TreeViewAdv for .Net",NA,"windows","developers","user-interfaces","English","c#",".net-mono","2016-08-05","bsd-license"
"M.A.M.E. Catalog / Launcher II",NA,"bsd/linux/mac/windows","end-users-desktop","emulators/games-entertainment","English/French/German/Greek/Italian/Polish/Portuguese/Romanian/Spanish/Swedish","c/c++/javascript","qt/sdl","2020-03-04","gnu-general-public-license-version-2.0-(gplv2)"
"PainTown",NA,"linux/mac/windows","end-users-desktop","side-scrolling-arcade-games","English","c++","win32-(ms-windows)/x-window-system-(x11)","2015-08-22","bsd-license"
"Brutal Chess","Beta","bsd/linux/mac/windows","end-users-desktop","board-games/turn-based-strategy","English","c++","opengl/sdl","2013-04-25","gnu-general-public-license-version-2.0-(gplv2)"
"EVACopy",NA,"windows","advanced-end-users/end-users-desktop/system-administrators","backup/data-recovery/version-control","NA","NA","win32-(ms-windows)","2019-01-27","gnu-general-public-license-version-2.0-(gplv2)"
"Advanced Normalization Tools ( ANTs )",NA,"NA","advanced-end-users/science-research","information-analysis/medical-science-apps.","NA","c++","NA","2019-10-21","bsd-license"
"open-gram",NA,"NA","NA","NA","NA","NA","NA","2015-04-29","NA"
"CxImage",NA,"bsd/linux/mac/windows","developers","graphics-conversion/raster-based/viewers","English","c++","win32-(ms-windows)","2015-08-06","zlib-libpng-license"
"Open Dicom Viewer","Beta","linux/mac/windows","healthcare-industry","medical-healthcare","English/Spanish","java","java-swing","2015-08-22","gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"myosin",NA,"NA","NA","NA","NA","NA","NA","2020-04-23","NA"
"Scrabble Dictionary","Beta","linux/mac/windows","end-users-desktop","board-games","English/German/Spanish","java","java-swing","2018-11-20","gnu-general-public-license-version-2.0-(gplv2)"
"Smb4K",NA,"bsd/linux","end-users-desktop","k-desktop-environment-(kde)/networking","NA","c++","kde","2020-04-14","gnu-general-public-license-version-2.0-(gplv2)"
"dvbsnoop",NA,"NA","developers/education","analysis/interface-engine-protocol-translator/logging/monitoring/video","NA","c","NA","2013-04-22","NA"
"Jedi Code Format",NA,"windows","developers/information-technology","code-generators","English","delphi-kylix/pascal","command-line/plugins/win32-(ms-windows)","2013-11-08","mozilla-public-license-1.1-(mpl-1.1)"
"Open Upload","Beta","linux/mac/windows","end-users-desktop/information-technology/system-administrators","file-sharing/other-file-transfer-protocol","Brazilian Portuguese/Chinese (Simplified)/English/French/German/Italian","php","web-based","2019-06-01","gnu-general-public-license-version-2.0-(gplv2)"
"HLGN32",NA,"NA","NA","NA","NA","NA","NA","1 day ago","NA"
"PixelGSIPortForWayne",NA,"NA","NA","NA","NA","NA","NA","5 days ago","NA"
"Project ALPHA","Pre-Alpha","linux","NA","real-time-strategy","Slovak","c++","qt","2017-09-28","NA"
"sacd_extract-gui",NA,"bsd/linux/windows","end-users-desktop","sound-audio","English","c#",".net-mono/gtk+","2016-11-27","mit-license"
"EasyModbusTCP/UDP/RTU .java",NA,"linux/mac/windows","NA","communications/scientific-engineering/software-development","NA","java","java-swing","2017-07-16","NA"
"GoldenEye",NA,"NA","NA","NA","NA","NA","NA","2016-02-23","NA"
"Intel xFSTK Downloader",NA,"linux","engineering","NA","NA","c++","qt","2015-08-07","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"phpMyBackupPro",NA,"linux/mac/windows","advanced-end-users/developers/end-users-desktop/system-administrators","backup/database/site-management","Czech/Dutch/English/Finnish/French/German/Greek/Hungarian/Indonesian/Italian/Japanese/Polish/Spanish","javascript/php","command-line/web-based","2018-11-02","gnu-general-public-license-version-2.0-(gplv2)"
"Ancient UNIX/BSD emulation on Windows",NA,"windows","developers","bsd/os-distribution","NA","c","console-terminal","2020-02-16","bsd-license/gnu-general-public-license-version-2.0-(gplv2)"
"QuickViewHL7 (HL7 file viewer/editor)",NA,"windows","healthcare-industry/information-technology","data-formats/testing","NA","c#","win32-(ms-windows)","2018-08-20","academic-free-license-(afl)"
"Quran7 Viewer",NA,"windows","education","religion-and-philosophy","Arabic","NA","win32-(ms-windows)","2013-02-04","public-domain"
"aosipderp-fest4whyred",NA,"NA","NA","NA","NA","NA","NA","2019-11-09","NA"
"Cubosphere","Beta","linux/mac/windows","NA","puzzle-games","Danish/English/French/German","c++/lua","opengl/sdl","2017-06-29","gnu-general-public-license-version-3.0-(gplv3)"
"Gammu",NA,"bsd/linux/mac/windows","developers/end-users-desktop/telecommunications-industry","hardware/scheduling/software-development/telephony","Czech/English/German/Polish","c/delphi-kylix/php/python/visual-basic","command-line/win32-(ms-windows)","2019-09-27","gnu-general-public-license-version-2.0-(gplv2)"
"Speed Reader Enhanced",NA,"linux/mac/windows","education/end-users-desktop","knowledge-management","NA","c#","NA","2016-01-23","NA"
"Linux c++ implementation of conio.h","Beta","linux","developers/system-administrators","terminals/user-interfaces","Polish","c++","console-terminal","2015-03-09","gnu-general-public-license-version-2.0-(gplv2)"
"Multiple Back-Propagation (with CUDA)",NA,"windows","NA","machine-learning","NA","c#/c++","win32-(ms-windows)","2016-11-24","gnu-general-public-license-version-3.0-(gplv3)"
"XonGrid",NA,"windows","end-users-desktop/engineering/financial-and-insurance-industry/science-research","mathematics/simulations/spreadsheet","NA","c/c++","excel","2014-01-19","bsd-license"
"Simple PHP Blog",NA,"linux/mac/windows","end-users-desktop/information-technology/system-administrators","message-boards/site-management","Chinese (Simplified)/Chinese (Traditional)/Danish/Dutch/English/French/German/Italian/Japanese/Malay/Portuguese/Russian/Spanish/Tamil/Turkish","javascript/php","web-based","2014-10-29","gnu-general-public-license-version-2.0-(gplv2)"
"SPup",NA,"linux","end-users-desktop","os-distribution","NA","NA","x-window-system-(x11)","11 hours ago","NA"
"UMIDIGI MT67xx Dev","Beta","android/linux/windows","NA","NA","NA","NA","NA","2 days ago","NA"
"X00T-test",NA,"NA","NA","NA","NA","NA","NA","5 days ago","NA"
"hammerhead-twrp",NA,"NA","NA","NA","NA","NA","NA","2020-04-23","NA"
"MEKA",NA,"NA","advanced-end-users/end-users-desktop/science-research","machine-learning","NA","java","NA","2018-03-29","gnu-general-public-license-version-3.0-(gplv3)"
"bin2c",NA,"NA","developers","NA","NA","c","command-line","2015-12-06","public-domain"
"x48 - HP48 calculator emulator",NA,"bsd/linux/mac","developers/end-users-desktop","debuggers/emulators/mathematics","English","c","x-window-system-(x11)","2014-06-09","gnu-general-public-license-version-2.0-(gplv2)"
"Battery Status monitor",NA,"NA","NA","NA","NA","NA","NA","2015-08-03","NA"
"Launchy",NA,"linux/mac/windows","advanced-end-users/end-users-desktop","desktop-environment/other-nonlisted-topic/search","NA","c++","qt","2014-05-22","gnu-general-public-license-version-2.0-(gplv2)"
"AOSiP",NA,"NA","NA","NA","NA","NA","NA","2020-04-04","NA"
"Tcl/Java",NA,"bsd/linux/windows","developers","interpreters","NA","c/java/tcl","win32-(ms-windows)/x-window-system-(x11)","2013-05-08","bsd-license"
"ABC [Yet Another Bittorrent Client]",NA,"windows","end-users-desktop","file-sharing","English","python","win32-(ms-windows)","2013-04-16","python-software-foundation-license"
"Restaurant Script (PizzaInn_Project)",NA,"linux/mac/windows","advanced-end-users/developers/education/management/testers","e-commerce---shopping/point-of-sale","NA","javascript/php","NA","2016-07-18","other-license"
"blackbuntu",NA,"NA","NA","NA","NA","NA","NA","2015-02-25","NA"
"AUDio MEasurement System","Beta","bsd/linux/windows","end-users-desktop","analysis/electronic-design-automation-(eda)","NA","c++","wxwidgets","17 hours ago","gnu-general-public-license-version-2.0-(gplv2)"
"AutoItRecorder",NA,"windows","developers/quality-engineers","debuggers/quality-assurance","NA","c++","win32-(ms-windows)","2012-09-14","gnu-general-public-license-version-2.0-(gplv2)"
"Super Tux",NA,"bsd/linux/windows","end-users-desktop","side-scrolling-arcade-games","English","c++","win32-(ms-windows)/x-window-system-(x11)","2013-04-09","gnu-general-public-license-version-2.0-(gplv2)"
"libsql - sqlite, mysql, odbc for pascal","Beta","bsd/linux/windows","developers","database-engines-servers","NA","delphi-kylix/object-pascal/pascal","NA","2013-03-22","artistic-license"
"Win32::GUI",NA,"windows","developers/end-users-desktop","user-interfaces","English","c/c++/perl","project-is-a-user-interface-(ui)-system/win32-(ms-windows)","2017-06-01","artistic-license/public-domain"
"Frost",NA,"linux/mac/windows","developers/end-users-desktop","chat/file-sharing","Bulgarian/Danish/Dutch/English/Esperanto/French/German/Italian/Japanese/Polish/Russian/Spanish/Swedish","java","java-swing","2015-09-05","gnu-general-public-license-version-2.0-(gplv2)"
"Visual Studio Code Portable",NA,"windows","advanced-end-users/developers","software-development/text-editors","English","NA","win32-(ms-windows)","2019-10-25","mit-license"
"POCO X2",NA,"NA","NA","NA","NA","NA","NA","3 days ago","NA"
"One-JAR(TM)",NA,"NA","NA","NA","NA","NA","NA","2013-05-23","NA"
"NCO netCDF Operators",NA,"bsd/linux/mac/windows","developers/end-users-desktop","earth-sciences/mathematics","NA","c/c++/perl","NA","2020-02-14","gnu-general-public-license-version-3.0-(gplv3)"
"Syslog Server","Abandoned","windows","system-administrators","logging/monitoring","English","visual-basic","win32-(ms-windows)","2013-08-26","gnu-general-public-license-version-2.0-(gplv2)"
"TwistedSNMP","Alpha","linux/mac/windows","developers","internet/monitoring/systems-administration","English","python","NA","2013-04-11","bsd-license"
"Fish Fillets - Next Generation",NA,"bsd/linux/mac","end-users-desktop","puzzle-games","Brazilian Portuguese/Bulgarian/Czech/Dutch/English/Esperanto/French/German/Italian/Polish/Russian/Slovene/Spanish/Swedish","c++/lua","x-window-system-(x11)","2019-08-10","gnu-general-public-license-version-2.0-(gplv2)"
"Helal Linux",NA,"linux","advanced-end-users/end-users-desktop/government/non-profit-organizations/system-administrators","live-cd/os-distribution/software-distribution","Arabic/English","python/unix-shell","gnome","2014-06-21","creative-commons-attribution-sharealike-license-v3.0"
"Nikon Capture Free",NA,"windows","advanced-end-users/end-users-desktop","digital-camera","NA","visual-basic","win32-(ms-windows)","2015-11-06","gnu-general-public-license-version-2.0-(gplv2)"
"Win2VNC",NA,"windows","end-users-desktop/system-administrators","networking/window-managers","English","c/c++","win32-(ms-windows)","2020-02-23","gnu-general-public-license-version-2.0-(gplv2)"
"Kabeja",NA,"linux/mac/windows","developers/end-users-desktop","data-formats/graphics-conversion/visualization","NA","java","command-line/java-swing/web-based","2013-04-29","apache-license-v2.0"
"PDFCrop",NA,"linux","end-users-desktop","printing","NA","unix-shell","console-terminal","2013-04-26","gnu-general-public-license-version-2.0-(gplv2)"
"The BAT Mod",NA,"windows","end-users-desktop","turn-based-strategy","French/German/Italian","c++/python","NA","2017-08-29","gnu-general-public-license-version-2.0-(gplv2)"
"AdaGIDE",NA,"windows","developers","integrated-development-environments-(ide)","English","ada","win32-(ms-windows)","2019-09-05","gnu-general-public-license-version-2.0-(gplv2)"
"CIRI",NA,"NA","NA","NA","NA","NA","NA","2020-04-16","NA"
"wbfsGUI",NA,"windows","end-users-desktop","console-based-games","English","c/c#/c++",".net-mono","2013-05-22","gnu-general-public-license-version-3.0-(gplv3)"
"DragonOS_10",NA,"NA","NA","NA","NA","NA","NA","2020-04-20","NA"
"IONOS-Tissot",NA,"NA","NA","NA","NA","NA","NA","4 days ago","NA"
"SilentEye",NA,"linux/mac/windows","NA","graphics/security","NA","c++","qt","2014-02-23","gnu-general-public-license-version-3.0-(gplv3)"
"StreamChat",NA,"NA","NA","NA","NA","NA","NA","2016-11-29","NA"
"CUDA GPU memtest",NA,"NA","developers/system-administrators","linux","NA","c/c++","NA","2015-09-04","other-license"
"idle3-tools","Beta","linux","end-users-desktop/system-administrators","hardware","NA","c","command-line","2013-05-23","gnu-general-public-license-version-3.0-(gplv3)"
"Doom Shareware Installer for Windows x64",NA,"windows","end-users-desktop","first-person-shooters","English","c#",".net-mono","2016-04-25","NA"
"TeamDeluxe",NA,"android","NA","NA","NA","NA","NA","2 days ago","NA"
"Mac Boy Advance","Pre-Alpha","mac","end-users-desktop","emulators/games-entertainment","NA","c++","NA","2015-08-07","gnu-general-public-license-version-2.0-(gplv2)"
"DVDx",NA,"linux/mac/windows","advanced-end-users/developers/end-users-desktop","display/dvd/video-conversion","English/French","assembly/c/c++","qt","2019-09-18","gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"Yet Another Duplicate File Remover","Beta","windows","advanced-end-users/developers/end-users-desktop","file-management","English","c#/visual-basic-.net","win32-(ms-windows)","2013-04-24","gnu-general-public-license-version-3.0-(gplv3)"
"openSIS Community Edition",NA,"bsd/linux/windows","developers/education/end-users-desktop/government/information-technology/management","administration","English","php","web-based","2 days ago","gnu-general-public-license-version-2.0-(gplv2)/gnu-general-public-license-version-3.0-(gplv3)"
"GeSHi - Generic Syntax Highlighter",NA,"linux/mac/windows","developers/education","dynamic-content/presentation/software-development","English","php","plugins/web-based","2017-05-15","gnu-general-public-license-version-2.0-(gplv2)/public-domain"
"calibre",NA,"NA","developers/education/end-users-desktop","cataloguing","NA","c/c++/javascript/python","NA","2015-06-19","gnu-general-public-license-version-3.0-(gplv3)"
"davidegironi",NA,"NA","engineering/information-technology","NA","NA","NA","NA","2020-02-15","gnu-general-public-license-version-3.0-(gplv3)"
"Cindy components for Delphi 7 and newer",NA,"NA","developers","libraries/object-oriented","NA","delphi-kylix","NA","2019-01-09","mozilla-public-license-1.1-(mpl-1.1)"
"DWDS/Dialing Concordance",NA,"bsd/linux/windows","education/information-technology/science-research","education/human-machine-interfaces/text-processing","English/German/Russian","c++","console-terminal/win32-(ms-windows)","2020-04-03","gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)"
"SquidClamav",NA,"bsd/linux","system-administrators","networking","NA","c","NA","2019-03-18","gnu-general-public-license-version-2.0-(gplv2)"
"qaManager","Alpha","linux/mac/windows","information-technology/quality-engineers","project-management/quality-assurance/testing","English","java/jsp","web-based","2013-04-23","bsd-license"
"QtSixA",NA,"NA","NA","NA","NA","NA","NA","2013-04-25","NA"
"QUAST",NA,"linux/mac","developers/end-users-desktop/science-research","bio-informatics/test-and-measurement/visualization","NA","javascript/python","command-line/web-based","2018-11-22","gnu-general-public-license-version-2.0-(gplv2)"
"Open1X","Inactive","bsd/linux/windows","developers/end-users-desktop/system-administrators","networking/security/systems-administration","English","c/c++","non-interactive-(daemon)/qt/win32-(ms-windows)","2013-05-20","bsd-license/gnu-general-public-license-version-2.0-(gplv2)"
"Clipboard Manager","Beta","windows","developers/end-users-desktop","desktop-environment","English","c#","win32-(ms-windows)","2015-08-06","gnu-general-public-license-version-2.0-(gplv2)"
"RegEx Tester",NA,"windows","developers","build-tools","English","c#",".net-mono/project-is-a-user-interface-(ui)-system","2014-06-17","gnu-general-public-license-version-2.0-(gplv2)"
"TeamReloaded",NA,"NA","NA","NA","NA","NA","NA","2019-09-15","NA"
"emulare",NA,"NA","NA","NA","NA","NA","NA","2015-09-16","NA"
"libxls",NA,"bsd/linux/mac/windows","developers/end-users-desktop","database/software-development","NA","c/c++","command-line","2019-02-11","bsd-license"
"Dev-PHP IDE",NA,"windows","developers/education/system-administrators","code-generators/dynamic-content/integrated-development-environments-(ide)","Arabic/Catalan/Chinese (Traditional)/Czech/Dutch/English/French/German/Hungarian/Italian/Japanese/Korean/Polish/Russian/Slovene/Spanish/Swedish/Turkish","delphi-kylix/php","win32-(ms-windows)","2014-01-07","gnu-general-public-license-version-2.0-(gplv2)"
"JiBX - XML Data Binding for Java",NA,"linux/mac/windows","developers","code-generators","NA","java","NA","2020-01-27","bsd-license"
"ftp4j",NA,"linux/mac/windows","developers","file-transfer-protocol-(ftp)/libraries/object-oriented","English/Italian","java","NA","2013-04-26","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"PDF Stapler",NA,"NA","NA","NA","NA","NA","NA","2015-04-25","NA"
"Rails: an 18xx game system","Beta","linux/mac/windows","advanced-end-users/developers/end-users-desktop/quality-engineers","board-games","NA","java","java-swing","2020-03-13","gnu-general-public-license-version-2.0-(gplv2)"
"Platina",NA,"NA","NA","NA","NA","NA","NA","5 days ago","NA"
"Chocolate Doom",NA,"linux/windows","end-users-desktop","first-person-shooters","NA","c","sdl","2018-10-27","gnu-general-public-license-version-2.0-(gplv2)"
"MacOSX Vim",NA,"mac","advanced-end-users","text-processing","NA","NA","carbon-(mac-os-x)","2018-07-29","gnu-general-public-license-version-2.0-(gplv2)"
"Reiwa-Mi8SE",NA,"NA","NA","NA","NA","NA","NA","2020-02-04","NA"
"jullian14",NA,"NA","NA","NA","NA","NA","NA","5 days ago","NA"
"leanote-bin",NA,"NA","NA","NA","NA","NA","NA","2018-03-08","NA"
"Sparklines for Microsoft Excel",NA,"windows","end-users-desktop/other-audience","business-intelligence/business-performance-management/spreadsheet","NA","visual-basic/visual-basic-.net","win32-(ms-windows)","2016-01-18","creative-commons-attribution-sharealike-license-v3.0"
"Open XML to DAISY XML Translator",NA,"windows","advanced-end-users/developers/end-users-desktop/non-profit-organizations","office-suites/word-processors","NA","c#",".net-mono","2013-04-15","bsd-license"
"ODBC QueryTool",NA,"windows","developers/system-administrators","front-ends","NA","c++","win32-(ms-windows)","2019-08-10","gnu-general-public-license-version-2.0-(gplv2)"
"jMusic - Composition in Java",NA,"bsd/linux/mac/solaris/windows","developers/education/end-users-desktop/other-audience","analysis/education/midi/sound-synthesis","English","java","cocoa-(macos-x)/web-based/win32-(ms-windows)/x-window-system-(x11)","2017-12-01","gnu-general-public-license-version-2.0-(gplv2)"
"AMOS","Beta","bsd/linux","advanced-end-users/science-research","bio-informatics","NA","c/c++/perl","command-line","2015-01-21","artistic-license"
"GNSS-SDR",NA,"linux/mac","aerospace/developers/education/engineering/science-research/telecommunications-industry","algorithms/research/test-and-measurement","NA","c++/matlab","command-line","3 days ago","gnu-general-public-license-version-3.0-(gplv3)"
"HERMES Mail","Alpha","windows","advanced-end-users/management","email-clients-(mua)/imap/pop3","NA","c++","win32-(ms-windows)","2019-08-13","bsd-license"
"OpenGL Software Development Kit","Alpha","NA","developers","documentation/frameworks","NA","c/c++","NA","2013-08-14","bsd-license/mit-license/zlib-libpng-license"
"i-nex",NA,"linux","information-technology","hardware/linux","English","basic/c/python/unix-shell","command-line/console-terminal/gnome/gtk+/kde/qt","2016-10-14","gnu-general-public-license-version-3.0-(gplv3)/gnu-library-or-lesser-general-public-license-version-3.0-(lgplv3)/other-license"
"StatiXOS",NA,"NA","NA","NA","NA","NA","NA","4 days ago","NA"
"MeD's Movie Manager",NA,"linux/mac/windows","end-users-desktop","file-management/video","English","java","java-swing","2014-09-14","gnu-general-public-license-version-2.0-(gplv2)"
"Whyteboard","Beta","linux/mac/windows","education/end-users-desktop/information-technology","presentation/raster-based/vector-based","Arabic/Chinese (Traditional)/Czech/Dutch/French/Galician/German/Hindi/Italian/Japanese/Portuguese/Russian/Spanish","python","wxwidgets","2013-04-11","gnu-general-public-license-version-2.0-(gplv2)/wxwindows-library-licence"
"Digital Invisible Ink Toolkit",NA,"linux/mac/windows","developers/education/end-users-desktop","cryptography/graphics","English","java","java-awt/java-swing","2013-04-15","gnu-general-public-license-version-2.0-(gplv2)"
"OpenPCTV",NA,"NA","NA","NA","NA","NA","NA","2016-11-29","NA"
"BlueProximity",NA,"bsd/linux","end-users-desktop/healthcare-industry/information-technology/science-research","security","Dutch/English/German/Italian/Swedish/Thai","python","NA","2013-04-26","gnu-general-public-license-version-2.0-(gplv2)"
"Java Service Wrapper",NA,"bsd/linux/mac/solaris/windows","developers/system-administrators","installation-setup/software-development","English","c/java","non-interactive-(daemon)/win32-(ms-windows)","2020-03-06","NA"
"MAMP",NA,"mac","advanced-end-users/developers/information-technology/other-audience","database-engines-servers/http-servers","English/French/German/Italian/Japanese/Russian/Spanish","NA","cocoa-(macos-x)","2013-04-29","gnu-general-public-license-version-2.0-(gplv2)"
"wwtbam",NA,"windows","end-users-desktop","games-entertainment","NA","NA","opengl","2016-02-22","gnu-general-public-license-version-2.0-(gplv2)"
"maXbox",NA,"bsd/linux/windows","developers","agile-development-tools","English","delphi-kylix/object-pascal","NA","2 days ago","gnu-general-public-license-version-2.0-(gplv2)"
"Udp Flooder",NA,"NA","NA","NA","NA","NA","NA","2015-11-16","NA"
"wipfw",NA,"windows","system-administrators","firewalls","English","c","command-line/qt","2013-05-01","bsd-license"
"ION-DTN",NA,"android/bsd/linux/mac/solaris/windows","developers","networking","NA","c","command-line","2019-11-22","bsd-license"
"Canorus","Beta","bsd/linux/mac/windows","developers/end-users-desktop/testers","education/printing/sound-audio/text-editors/xml","Czech/Dutch/English/French/German/Slovene","c++/python","console-terminal/plugins/qt","2020-01-04","gnu-general-public-license-version-2.0-(gplv2)/gnu-general-public-license-version-3.0-(gplv3)"
"ADB-Helper","Beta","windows","end-users-desktop","telephony","NA","visual-basic-.net",".net-mono","2013-05-30","NA"
"Haserl",NA,"bsd/linux","NA","cgi-tools-libraries","English","c","web-based","2015-03-11","gnu-general-public-license-version-2.0-(gplv2)"
"CoolPlayer",NA,"windows","developers/end-users-desktop","mp3","English","c","win32-(ms-windows)","2013-05-01","gnu-general-public-license-version-2.0-(gplv2)"
"Minimalist PSPSDK",NA,"linux/mac/windows","developers","compilers/cross-compilers/debuggers","NA","c/c++/java","NA","2013-01-11","gnu-general-public-license-version-2.0-(gplv2)"
"XsdVi",NA,"NA","developers/information-technology","documentation/presentation/visualization/xml","Czech/English","java/javascript","command-line","2013-03-22","gnu-general-public-license-version-2.0-(gplv2)"
"EasyBMP Cross-Platform Bitmap Library",NA,"bsd/linux/mac/windows","advanced-end-users/aerospace/developers/science-research","editors/graphics-conversion/visualization","English","c++","project-is-a-graphics-toolkit","2017-06-14","bsd-license"
"Phoenix Linux",NA,"NA","NA","NA","NA","NA","NA","2018-03-05","NA"
"android Tamer",NA,"linux","developers/information-technology/security-professionals","mobile","NA","NA","gnome","2016-07-14","gnu-general-public-license-version-2.0-(gplv2)"
"eclipse.vertical.tab.list",NA,"NA","NA","NA","NA","NA","NA","2016-11-04","NA"
"Audiere Audio System","Beta","bsd/linux/windows","developers","players","English","c++/java/python","NA","2013-04-25","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Hotels Board Game",NA,"NA","NA","NA","NA","NA","NA","2017-07-09","NA"
"BTools",NA,"linux/mac/windows","developers","software-development","English","java","web-based/win32-(ms-windows)/x-window-system-(x11)","2013-04-15","gnu-general-public-license-version-2.0-(gplv2)"
"KeePassOTP","Alpha","NA","NA","password-manager","NA","NA","NA","12 hours ago","NA"
"RSeQC",NA,"NA","NA","NA","NA","NA","NA","2019-09-20","NA"
"ToOpPy LINUX",NA,"linux","NA","live-cd","NA","NA","NA","2020-04-14","gnu-general-public-license-version-3.0-(gplv3)"
"OpenOrienteering",NA,"android/linux/mac/windows","end-users-desktop","mapping/vector-based","Czech/English/Finnish/French/German/Italian/Latvian/Norwegian/Polish/Spanish","c/c++/java","qt","2018-09-25","gnu-general-public-license-version-3.0-(gplv3)"
"Whonix Developer Meta Files",NA,"NA","NA","NA","NA","NA","NA","2019-04-06","NA"
"ddclient",NA,"bsd/linux","system-administrators","monitoring/name-service-(dns)/systems-administration","English","perl","non-interactive-(daemon)","2018-08-09","gnu-general-public-license-version-2.0-(gplv2)"
"PyCmd",NA,"windows","advanced-end-users","system-shells","NA","python","console-terminal","2019-09-30","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"LAMPSecurity  Training",NA,"linux","NA","http-servers/security","NA","php","NA","2016-12-01","gnu-general-public-license-version-2.0-(gplv2)"
"netrik","Beta","linux","end-users-desktop","browsers","English","c","curses-ncurses","2013-04-15","gnu-general-public-license-version-3.0-(gplv3)"
"Weather Station Data Logger",NA,"NA","end-users-desktop/science-research","earth-sciences/interface-engine-protocol-translator","NA","c#","win32-(ms-windows)","2018-04-04","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"MeshFix",NA,"windows","end-users-desktop/science-research","3d-modeling","NA","c++","command-line","2016-11-18","gnu-general-public-license-version-2.0-(gplv2)"
"Lightweight replacement for autotools","Beta","bsd/linux","developers","build-tools/installation-setup","English","unix-shell","command-line","2020-03-30","bsd-license"
"usbpicprog: Simple USB PIC programmer",NA,"linux/mac/windows","advanced-end-users/education/science-research","hardware/scientific-engineering","NA","c/c++","wxwidgets","2014-07-02","gnu-general-public-license-version-2.0-(gplv2)"
"SriEdition",NA,"NA","NA","NA","NA","NA","NA","1 day ago","NA"
"libcddb",NA,"bsd/linux","developers","cd-audio/internet/software-development","English","c","NA","2017-07-13","gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"Finanx 12c","Beta","linux/mac/windows","education/end-users-desktop/financial-and-insurance-industry","education/financial","NA","java","java-swing","2019-09-08","gnu-general-public-license-version-2.0-(gplv2)"
"QuakeForge",NA,"bsd/linux/windows","developers/end-users-desktop/other-audience","first-person-shooters/software-development","English","c","command-line/console-terminal/win32-(ms-windows)/x-window-system-(x11)","2020-03-10","gnu-general-public-license-version-2.0-(gplv2)/gnu-library-or-lesser-general-public-license-version-2.0-(lgplv2)"
"SampleIcc",NA,"NA","developers","data-formats/graphics","NA","c++","command-line","2017-05-18","public-domain"
"AquaTerm (Mac OS X graphics terminal)",NA,"mac","developers/end-users-desktop/science-research","software-development/visualization","English","c/fortran/perl/python","cocoa-(macos-x)","2013-10-03","bsd-license"
"HTML::Index",NA,"NA","developers","indexing-search","NA","perl","NA","2013-02-21","artistic-license"
"accel-ppp","Beta","linux","information-technology/system-administrators/telecommunications-industry","networking","NA","c","command-line/console-terminal/non-interactive-(daemon)","2020-04-14","gnu-general-public-license-version-2.0-(gplv2)"
"openjardin",NA,"linux","agriculture/end-users-desktop","calendar/editors/graphics","English/French","c++","gnome/kde","2019-10-02","gnu-general-public-license-version-3.0-(gplv3)"
"OpenBEXI HTML Builder","Beta","linux/mac/windows","advanced-end-users/developers","build-tools/code-generators/html-xhtml/user-interfaces","English/French","java/javascript","project-is-a-graphics-toolkit/project-is-a-user-interface-(ui)-system/web-based","2015-03-18","gnu-general-public-license-version-2.0-(gplv2)"
"DelphiDoom",NA,"windows","developers/end-users-desktop","first-person-shooters","English","delphi-kylix","opengl/win32-(ms-windows)","2020-04-01","gnu-general-public-license-version-2.0-(gplv2)"
"Generic SCSI Target Subsystem For Linux",NA,"linux","developers/information-technology/science-research/system-administrators/telecommunications-industry","backup/clustering/communications/hardware-drivers/linux/networking","English","c/perl","non-interactive-(daemon)","2020-04-21","gnu-general-public-license-version-2.0-(gplv2)"
"OSCARMcMaster",NA,"NA","NA","NA","NA","NA","NA","2020-02-05","NA"
"MidiEditor",NA,"NA","NA","NA","NA","NA","NA","2018-06-05","NA"
"CVSps","Beta","bsd/linux","advanced-end-users/developers","cvs","NA","c","command-line","2012-12-05","gnu-general-public-license-version-2.0-(gplv2)"
